n: 20	p: 2
FO:	45954.152344
HUBS:	[6, 16]
OR	H1	H2	DS	CUSTO
9	6	6	4	21890.140625
9	6	6	5	12902.157227
9	6	6	6	7201.826172
9	6	6	7	16903.207031
9	6	6	8	22923.005859
9	6	6	9	14403.652344
9	6	6	10	15258.109375
9	6	6	11	21082.949219
9	17	17	12	21896.687500
9	17	17	13	19987.343750
9	6	6	14	21845.378906
9	6	6	15	22612.613281
9	16	16	16	22528.132813
9	17	17	17	14384.910156
9	17	17	18	21154.613281
9	17	17	19	25507.791016
10	6	0	0	25289.089844
10	6	6	1	26998.583984
10	6	6	2	18058.681641
10	6	3	3	24320.501953
10	6	6	4	22744.597656
10	6	6	5	13756.613281
10	6	6	6	8056.282715
10	6	6	7	17757.662109
10	6	6	8	23777.462891
10	6	6	9	15258.109375
10	6	6	10	16112.565430
10	6	6	11	21937.406250
10	17	17	12	24039.595703
10	17	17	13	22130.250000
10	6	6	14	22699.835938
10	6	6	15	23467.070313
10	17	16	16	25683.552734
10	17	17	17	16527.818359
10	17	17	18	23297.523438
10	6	6	19	26606.144531
11	6	0	0	31113.931641
11	6	6	1	32823.425781
11	6	6	2	23883.523438
11	3	3	3	21074.068359
11	6	6	4	28569.439453
11	6	6	5	19581.455078
11	6	6	6	13881.124023
11	6	6	7	23582.503906
11	6	6	8	29602.304688
11	6	6	9	21082.949219
11	6	6	10	21937.406250
11	6	6	11	27762.248047
11	17	17	12	31063.261719
11	17	17	13	29153.917969
11	6	6	14	28524.677734
11	6	6	15	29291.910156
11	17	16	16	32707.218750
11	17	17	17	23551.484375
11	17	17	18	30321.187500
11	6	6	19	32430.984375
12	0	0	0	26751.919922
12	6	6	1	36271.945313
12	6	6	2	27332.044922
12	6	3	3	33593.867188
12	17	17	4	26095.203125
12	6	6	5	23029.976563
12	6	6	6	17329.646484
12	6	6	7	27031.027344
12	17	17	8	20866.619141
12	17	17	9	21896.687500
12	17	17	10	24039.595703
12	17	17	11	31063.261719
12	17	17	12	15023.553711
12	17	17	13	13114.208984
12	17	17	14	16689.859375
12	17	17	15	27168.191406
12	16	16	16	11729.930664
12	17	17	17	7511.776855
12	17	17	18	14281.480469
12	17	17	19	18634.658203
13	17	0	0	31267.707031
13	6	6	1	35481.140625
13	6	6	2	26541.238281
13	6	3	3	32803.058594
13	17	17	4	24185.859375
13	6	6	5	22239.171875
13	6	6	6	16538.839844
13	6	6	7	26240.218750
13	17	17	8	18957.275391
13	17	17	9	19987.343750
13	17	17	10	22130.250000
13	17	17	11	29153.917969
13	17	17	12	13114.208984
13	17	17	13	11204.865234
13	17	17	14	14780.515625
13	17	17	15	25258.847656
13	17	16	16	14758.167969
13	17	17	17	5602.432617
13	17	17	18	12372.136719
13	17	17	19	16725.312500
14	6	0	0	31876.361328
14	6	6	1	33585.855469
14	6	6	2	24645.953125
14	6	3	3	30907.773438
14	17	17	4	27761.507813
14	6	6	5	20343.884766
14	6	6	6	14643.553711
14	6	6	7	24344.933594
14	17	17	8	22532.925781
14	6	6	9	21845.378906
14	6	6	10	22699.835938
14	6	6	11	28524.677734
14	17	17	12	16689.859375
14	17	17	13	14780.515625
14	17	17	14	18356.166016
14	17	17	15	28834.496094
14	17	16	16	18333.818359
14	17	17	17	9178.083008
14	17	17	18	15947.787109
14	17	17	19	20300.964844
15	6	0	0	32643.593750
15	6	6	1	34353.085938
15	6	6	2	25413.185547
15	3	3	3	25973.289063
15	6	6	4	30099.101563
15	6	6	5	21111.117188
15	6	6	6	15410.787109
15	6	6	7	25112.167969
15	6	6	8	31131.966797
15	6	6	9	22612.613281
15	6	6	10	23467.070313
15	6	6	11	29291.910156
15	17	17	12	27168.191406
15	17	17	13	25258.847656
15	17	17	14	28834.496094
15	6	6	15	30821.574219
15	17	16	16	28812.148438
15	17	17	17	19656.414063
15	17	17	18	26426.117188
15	17	17	19	30779.294922
16	16	0	0	24714.789063
16	16	0	1	36288.468750
16	16	6	2	31717.218750
16	16	3	3	37868.148438
16	16	16	4	19019.167969
16	16	16	5	26912.255859
16	16	6	6	21714.820313
16	16	6	7	31416.199219
16	16	16	8	14437.865234
16	16	16	9	22528.132813
16	16	17	10	25683.552734
16	16	17	11	32707.218750
16	16	16	12	11729.930664
16	16	17	13	14758.167969
16	16	17	14	18333.818359
16	16	17	15	28812.148438
16	16	16	16	0.000000
16	16	17	17	9155.734375
16	16	17	18	15925.439453
16	16	17	19	20278.615234
17	17	0	0	25665.275391
17	17	6	1	35131.160156
17	17	6	2	26191.257813
17	17	3	3	31249.792969
17	17	17	4	18583.425781
17	17	6	5	21889.189453
17	17	6	6	16188.858398
17	17	17	7	25348.378906
17	17	17	8	13354.842773
17	17	17	9	14384.910156
17	17	17	10	16527.818359
17	17	17	11	23551.484375
17	17	17	12	7511.776855
17	17	17	13	5602.432617
17	17	17	14	9178.083008
17	17	17	15	19656.414063
17	17	16	16	9155.734375
17	17	17	17	0.000000
17	17	17	18	6769.704102
17	17	17	19	11122.880859
18	17	0	0	32434.980469
18	6	6	1	37396.406250
18	6	6	2	28456.505859
18	6	3	3	34718.328125
18	17	17	4	25353.128906
18	6	6	5	24154.437500
18	6	6	6	18454.107422
18	6	6	7	28155.488281
18	17	17	8	20124.546875
18	17	17	9	21154.613281
18	17	17	10	23297.523438
18	17	17	11	30321.187500
18	17	17	12	14281.480469
18	17	17	13	12372.136719
18	17	17	14	15947.787109
18	17	17	15	26426.117188
18	17	16	16	15925.439453
18	17	17	17	6769.704102
18	17	17	18	13539.408203
18	17	17	19	17892.585938
19	6	0	0	35782.667969
19	6	6	1	37492.164063
19	6	6	2	28552.259766
19	3	3	3	34468.824219
19	17	17	4	29706.306641
19	6	6	5	24250.191406
19	6	6	6	18549.861328
19	6	6	7	28251.242188
19	17	17	8	24477.722656
19	17	17	9	25507.791016
19	6	6	10	26606.144531
19	6	6	11	32430.984375
19	17	17	12	18634.658203
19	17	17	13	16725.312500
19	17	17	14	20300.964844
19	17	17	15	30779.294922
19	17	16	16	20278.615234
19	17	17	17	11122.880859
19	17	17	18	17892.585938
19	17	17	19	22245.761719
n: 20	p: 5
FO:	37868.148438
HUBS:	[6, 3, 0, 16, 17]
OR	H1	H2	DS	CUSTO
0	0	0	0	0.000000
0	0	0	1	11573.680664
0	0	0	2	18163.412109
0	0	3	3	27613.445313
0	0	0	4	15640.175781
0	0	0	5	17506.423828
0	0	6	6	17232.806641
0	0	6	7	26934.187500
0	0	0	8	20952.585938
0	0	6	9	24434.632813
0	0	6	10	25289.089844
0	0	6	11	31113.931641
0	0	0	12	26751.919922
0	0	17	13	31267.707031
0	0	6	14	31876.361328
0	0	6	15	32643.593750
0	0	16	16	24714.789063
0	0	17	17	25665.275391
0	0	17	18	32434.980469
0	0	6	19	35782.667969
1	0	0	0	11573.680664
1	0	0	1	23147.361328
1	6	6	2	28944.699219
1	3	3	3	26434.767578
1	0	0	4	27213.855469
1	6	6	5	24642.632813
1	6	6	6	18942.300781
1	6	6	7	28643.679688
1	0	0	8	32526.265625
1	6	6	9	26144.126953
1	6	6	10	26998.583984
1	6	6	11	32823.425781
1	6	6	12	36271.945313
1	6	6	13	35481.140625
1	6	6	14	33585.855469
1	6	6	15	34353.085938
1	0	16	16	36288.468750
1	6	17	17	35131.160156
1	6	6	18	37396.406250
1	6	6	19	37492.164063
2	0	0	0	18163.412109
2	6	6	1	28944.699219
2	6	6	2	20004.796875
2	3	3	3	19050.708984
2	6	6	4	24690.714844
2	6	6	5	15702.729492
2	6	6	6	10002.398438
2	6	6	7	19703.777344
2	6	6	8	25723.578125
2	6	6	9	17204.224609
2	6	6	10	18058.681641
2	6	6	11	23883.523438
2	6	6	12	27332.044922
2	6	6	13	26541.238281
2	6	6	14	24645.953125
2	6	6	15	25413.185547
2	6	16	16	31717.218750
2	6	17	17	26191.257813
2	6	6	18	28456.505859
2	6	6	19	28552.259766
3	3	0	0	27613.445313
3	3	3	1	26434.767578
3	3	3	2	19050.708984
3	3	3	3	0.000000
3	3	6	4	30952.535156
3	3	6	5	21964.550781
3	3	6	6	16264.218750
3	3	3	7	16710.349609
3	3	6	8	31985.398438
3	3	6	9	23466.044922
3	3	6	10	24320.501953
3	3	3	11	21074.068359
3	3	6	12	33593.867188
3	3	6	13	32803.058594
3	3	6	14	30907.773438
3	3	3	15	25973.289063
3	3	16	16	37868.148438
3	3	17	17	31249.792969
3	3	6	18	34718.328125
3	3	3	19	34468.824219
4	0	0	0	15640.175781
4	0	0	1	27213.855469
4	6	6	2	24690.714844
4	6	3	3	30952.535156
4	6	6	4	29376.630859
4	6	6	5	20388.646484
4	6	6	6	14688.315430
4	6	6	7	24389.695313
4	6	6	8	30409.496094
4	6	6	9	21890.140625
4	6	6	10	22744.597656
4	6	6	11	28569.439453
4	17	17	12	26095.203125
4	17	17	13	24185.859375
4	17	17	14	27761.507813
4	6	6	15	30099.101563
4	16	16	16	19019.167969
4	17	17	17	18583.425781
4	17	17	18	25353.128906
4	17	17	19	29706.306641
5	0	0	0	17506.423828
5	6	6	1	24642.632813
5	6	6	2	15702.729492
5	6	3	3	21964.550781
5	6	6	4	20388.646484
5	6	6	5	11400.662109
5	6	6	6	5700.331055
5	6	6	7	15401.710938
5	6	6	8	21421.511719
5	6	6	9	12902.157227
5	6	6	10	13756.613281
5	6	6	11	19581.455078
5	6	6	12	23029.976563
5	6	6	13	22239.171875
5	6	6	14	20343.884766
5	6	6	15	21111.117188
5	16	16	16	26912.255859
5	6	17	17	21889.189453
5	6	6	18	24154.437500
5	6	6	19	24250.191406
6	6	0	0	17232.806641
6	6	6	1	18942.300781
6	6	6	2	10002.398438
6	6	3	3	16264.218750
6	6	6	4	14688.315430
6	6	6	5	5700.331055
6	6	6	6	0.000000
6	6	6	7	9701.379883
6	6	6	8	15721.179688
6	6	6	9	7201.826172
6	6	6	10	8056.282715
6	6	6	11	13881.124023
6	6	6	12	17329.646484
6	6	6	13	16538.839844
6	6	6	14	14643.553711
6	6	6	15	15410.787109
6	6	16	16	21714.820313
6	6	17	17	16188.858398
6	6	6	18	18454.107422
6	6	6	19	18549.861328
7	6	0	0	26934.187500
7	6	6	1	28643.679688
7	6	6	2	19703.777344
7	3	3	3	16710.349609
7	6	6	4	24389.695313
7	6	6	5	15401.710938
7	6	6	6	9701.379883
7	6	6	7	19402.759766
7	6	6	8	25422.558594
7	6	6	9	16903.207031
7	6	6	10	17757.662109
7	6	6	11	23582.503906
7	6	6	12	27031.027344
7	6	6	13	26240.218750
7	6	6	14	24344.933594
7	6	6	15	25112.167969
7	6	16	16	31416.199219
7	17	17	17	25348.378906
7	6	6	18	28155.488281
7	6	6	19	28251.242188
8	0	0	0	20952.585938
8	0	0	1	32526.265625
8	6	6	2	25723.578125
8	6	3	3	31985.398438
8	6	6	4	30409.496094
8	6	6	5	21421.511719
8	6	6	6	15721.179688
8	6	6	7	25422.558594
8	17	17	8	26709.685547
8	6	6	9	22923.005859
8	6	6	10	23777.462891
8	6	6	11	29602.304688
8	17	17	12	20866.619141
8	17	17	13	18957.275391
8	17	17	14	22532.925781
8	6	6	15	31131.966797
8	16	16	16	14437.865234
8	17	17	17	13354.842773
8	17	17	18	20124.546875
8	17	17	19	24477.722656
9	6	0	0	24434.632813
9	6	6	1	26144.126953
9	6	6	2	17204.224609
9	6	3	3	23466.044922
9	6	6	4	21890.140625
9	6	6	5	12902.157227
9	6	6	6	7201.826172
9	6	6	7	16903.207031
9	6	6	8	22923.005859
9	6	6	9	14403.652344
9	6	6	10	15258.109375
9	6	6	11	21082.949219
9	17	17	12	21896.687500
9	17	17	13	19987.343750
9	6	6	14	21845.378906
9	6	6	15	22612.613281
9	16	16	16	22528.132813
9	17	17	17	14384.910156
9	17	17	18	21154.613281
9	17	17	19	25507.791016
10	6	0	0	25289.089844
10	6	6	1	26998.583984
10	6	6	2	18058.681641
10	6	3	3	24320.501953
10	6	6	4	22744.597656
10	6	6	5	13756.613281
10	6	6	6	8056.282715
10	6	6	7	17757.662109
10	6	6	8	23777.462891
10	6	6	9	15258.109375
10	6	6	10	16112.565430
10	6	6	11	21937.406250
10	17	17	12	24039.595703
10	17	17	13	22130.250000
10	6	6	14	22699.835938
10	6	6	15	23467.070313
10	17	16	16	25683.552734
10	17	17	17	16527.818359
10	17	17	18	23297.523438
10	6	6	19	26606.144531
11	6	0	0	31113.931641
11	6	6	1	32823.425781
11	6	6	2	23883.523438
11	3	3	3	21074.068359
11	6	6	4	28569.439453
11	6	6	5	19581.455078
11	6	6	6	13881.124023
11	6	6	7	23582.503906
11	6	6	8	29602.304688
11	6	6	9	21082.949219
11	6	6	10	21937.406250
11	6	6	11	27762.248047
11	17	17	12	31063.261719
11	17	17	13	29153.917969
11	6	6	14	28524.677734
11	6	6	15	29291.910156
11	17	16	16	32707.218750
11	17	17	17	23551.484375
11	17	17	18	30321.187500
11	6	6	19	32430.984375
12	0	0	0	26751.919922
12	6	6	1	36271.945313
12	6	6	2	27332.044922
12	6	3	3	33593.867188
12	17	17	4	26095.203125
12	6	6	5	23029.976563
12	6	6	6	17329.646484
12	6	6	7	27031.027344
12	17	17	8	20866.619141
12	17	17	9	21896.687500
12	17	17	10	24039.595703
12	17	17	11	31063.261719
12	17	17	12	15023.553711
12	17	17	13	13114.208984
12	17	17	14	16689.859375
12	17	17	15	27168.191406
12	16	16	16	11729.930664
12	17	17	17	7511.776855
12	17	17	18	14281.480469
12	17	17	19	18634.658203
13	17	0	0	31267.707031
13	6	6	1	35481.140625
13	6	6	2	26541.238281
13	6	3	3	32803.058594
13	17	17	4	24185.859375
13	6	6	5	22239.171875
13	6	6	6	16538.839844
13	6	6	7	26240.218750
13	17	17	8	18957.275391
13	17	17	9	19987.343750
13	17	17	10	22130.250000
13	17	17	11	29153.917969
13	17	17	12	13114.208984
13	17	17	13	11204.865234
13	17	17	14	14780.515625
13	17	17	15	25258.847656
13	17	16	16	14758.167969
13	17	17	17	5602.432617
13	17	17	18	12372.136719
13	17	17	19	16725.312500
14	6	0	0	31876.361328
14	6	6	1	33585.855469
14	6	6	2	24645.953125
14	6	3	3	30907.773438
14	17	17	4	27761.507813
14	6	6	5	20343.884766
14	6	6	6	14643.553711
14	6	6	7	24344.933594
14	17	17	8	22532.925781
14	6	6	9	21845.378906
14	6	6	10	22699.835938
14	6	6	11	28524.677734
14	17	17	12	16689.859375
14	17	17	13	14780.515625
14	17	17	14	18356.166016
14	17	17	15	28834.496094
14	17	16	16	18333.818359
14	17	17	17	9178.083008
14	17	17	18	15947.787109
14	17	17	19	20300.964844
15	6	0	0	32643.593750
15	6	6	1	34353.085938
15	6	6	2	25413.185547
15	3	3	3	25973.289063
15	6	6	4	30099.101563
15	6	6	5	21111.117188
15	6	6	6	15410.787109
15	6	6	7	25112.167969
15	6	6	8	31131.966797
15	6	6	9	22612.613281
15	6	6	10	23467.070313
15	6	6	11	29291.910156
15	17	17	12	27168.191406
15	17	17	13	25258.847656
15	17	17	14	28834.496094
15	6	6	15	30821.574219
15	17	16	16	28812.148438
15	17	17	17	19656.414063
15	17	17	18	26426.117188
15	17	17	19	30779.294922
16	16	0	0	24714.789063
16	16	0	1	36288.468750
16	16	6	2	31717.218750
16	16	3	3	37868.148438
16	16	16	4	19019.167969
16	16	16	5	26912.255859
16	16	6	6	21714.820313
16	16	6	7	31416.199219
16	16	16	8	14437.865234
16	16	16	9	22528.132813
16	16	17	10	25683.552734
16	16	17	11	32707.218750
16	16	16	12	11729.930664
16	16	17	13	14758.167969
16	16	17	14	18333.818359
16	16	17	15	28812.148438
16	16	16	16	0.000000
16	16	17	17	9155.734375
16	16	17	18	15925.439453
16	16	17	19	20278.615234
17	17	0	0	25665.275391
17	17	6	1	35131.160156
17	17	6	2	26191.257813
17	17	3	3	31249.792969
17	17	17	4	18583.425781
17	17	6	5	21889.189453
17	17	6	6	16188.858398
17	17	17	7	25348.378906
17	17	17	8	13354.842773
17	17	17	9	14384.910156
17	17	17	10	16527.818359
17	17	17	11	23551.484375
17	17	17	12	7511.776855
17	17	17	13	5602.432617
17	17	17	14	9178.083008
17	17	17	15	19656.414063
17	17	16	16	9155.734375
17	17	17	17	0.000000
17	17	17	18	6769.704102
17	17	17	19	11122.880859
18	17	0	0	32434.980469
18	6	6	1	37396.406250
18	6	6	2	28456.505859
18	6	3	3	34718.328125
18	17	17	4	25353.128906
18	6	6	5	24154.437500
18	6	6	6	18454.107422
18	6	6	7	28155.488281
18	17	17	8	20124.546875
18	17	17	9	21154.613281
18	17	17	10	23297.523438
18	17	17	11	30321.187500
18	17	17	12	14281.480469
18	17	17	13	12372.136719
18	17	17	14	15947.787109
18	17	17	15	26426.117188
18	17	16	16	15925.439453
18	17	17	17	6769.704102
18	17	17	18	13539.408203
18	17	17	19	17892.585938
19	6	0	0	35782.667969
19	6	6	1	37492.164063
19	6	6	2	28552.259766
19	3	3	3	34468.824219
19	17	17	4	29706.306641
19	6	6	5	24250.191406
19	6	6	6	18549.861328
19	6	6	7	28251.242188
19	17	17	8	24477.722656
19	17	17	9	25507.791016
19	6	6	10	26606.144531
19	6	6	11	32430.984375
19	17	17	12	18634.658203
19	17	17	13	16725.312500
19	17	17	14	20300.964844
19	17	17	15	30779.294922
19	17	16	16	20278.615234
19	17	17	17	11122.880859
19	17	17	18	17892.585938
19	17	17	19	22245.761719
n: 20	p: 5
FO:	53045.234375
HUBS:	[10, 0, 0, 0, 0]
OR	H1	H2	DS	CUSTO
0	0	0	0	0.000000
0	0	0	1	11573.680664
0	0	0	2	18163.412109
0	0	0	3	36817.925781
0	0	0	4	15640.175781
0	0	0	5	17506.423828
0	0	0	6	22977.076172
0	0	10	7	31213.066406
0	0	0	8	20952.585938
0	0	0	9	25387.062500
0	0	10	10	22330.785156
0	0	10	11	31325.046875
0	0	0	12	26751.919922
0	0	0	13	32128.150391
0	0	10	14	30189.296875
0	0	10	15	30583.289063
0	0	0	16	32953.050781
0	0	0	17	34220.367188
0	0	10	18	33982.332031
0	0	10	19	33091.269531
1	0	0	0	11573.680664
1	0	0	1	23147.361328
1	0	0	2	29737.093750
1	0	0	3	48391.605469
1	0	0	4	27213.855469
1	0	0	5	29080.105469
1	0	0	6	34550.757813
1	10	10	7	35834.062500
1	0	0	8	32526.265625
1	10	10	9	32381.316406
1	10	10	10	26951.779297
1	10	10	11	35946.042969
1	0	0	12	38325.601563
1	10	10	13	37890.261719
1	10	10	14	34810.292969
1	10	10	15	35204.285156
1	0	0	16	44526.730469
1	10	10	17	43479.597656
1	10	10	18	38603.328125
1	10	10	19	37712.265625
2	0	0	0	18163.412109
2	0	0	1	29737.093750
2	10	10	2	35919.906250
2	10	10	3	43147.363281
2	0	0	4	33803.585938
2	10	10	5	30382.623047
2	10	10	6	26016.236328
2	10	10	7	26842.236328
2	10	10	8	34360.875000
2	10	10	9	23389.490234
2	10	10	10	17959.953125
2	10	10	11	26954.216797
2	10	10	12	33066.652344
2	10	10	13	28898.435547
2	10	10	14	25818.466797
2	10	10	15	26212.458984
2	10	10	16	44482.570313
2	10	10	17	34487.773438
2	10	10	18	29611.500000
2	10	10	19	28720.437500
3	0	0	0	36817.925781
3	0	0	1	48391.605469
3	10	10	2	43147.363281
3	10	10	3	50374.820313
3	10	10	4	43143.546875
3	10	10	5	37610.078125
3	10	10	6	33243.691406
3	10	10	7	34069.695313
3	10	10	8	41588.328125
3	10	10	9	30616.947266
3	10	10	10	25187.410156
3	10	10	11	34181.671875
3	10	10	12	40294.109375
3	10	10	13	36125.890625
3	10	10	14	33045.921875
3	10	10	15	33439.914063
3	10	10	16	51710.027344
3	10	10	17	41715.226563
3	10	10	18	36838.957031
3	10	10	19	35947.894531
4	0	0	0	15640.175781
4	0	0	1	27213.855469
4	0	0	2	33803.585938
4	10	10	3	43143.546875
4	0	0	4	31280.351563
4	10	10	5	30378.804688
4	10	10	6	26012.417969
4	10	10	7	26838.417969
4	10	10	8	34357.054688
4	10	10	9	23385.671875
4	10	10	10	17956.134766
4	10	10	11	26950.398438
4	10	10	12	33062.835938
4	10	10	13	28894.617188
4	10	10	14	25814.648438
4	10	10	15	26208.640625
4	10	10	16	44478.750000
4	10	10	17	34483.953125
4	10	10	18	29607.683594
4	10	10	19	28716.619141
5	0	0	0	17506.423828
5	0	0	1	29080.105469
5	10	10	2	30382.623047
5	10	10	3	37610.078125
5	10	10	4	30378.804688
5	10	10	5	24845.339844
5	10	10	6	20478.953125
5	10	10	7	21304.953125
5	10	10	8	28823.589844
5	10	10	9	17852.207031
5	10	10	10	12422.669922
5	10	10	11	21416.933594
5	10	10	12	27529.371094
5	10	10	13	23361.152344
5	10	10	14	20281.183594
5	10	10	15	20675.175781
5	10	10	16	38945.289063
5	10	10	17	28950.488281
5	10	10	18	24074.218750
5	10	10	19	23183.154297
6	0	0	0	22977.076172
6	0	0	1	34550.757813
6	10	10	2	26016.236328
6	10	10	3	33243.691406
6	10	10	4	26012.417969
6	10	10	5	20478.953125
6	10	10	6	16112.565430
6	10	10	7	16938.566406
6	10	10	8	24457.203125
6	10	10	9	13485.819336
6	10	10	10	8056.282715
6	10	10	11	17050.546875
6	10	10	12	23162.982422
6	10	10	13	18994.765625
6	10	10	14	15914.795898
6	10	10	15	16308.789063
6	10	10	16	34578.898438
6	10	10	17	24584.101563
6	10	10	18	19707.830078
6	10	10	19	18816.767578
7	10	0	0	31213.066406
7	10	10	1	35834.062500
7	10	10	2	26842.236328
7	10	10	3	34069.695313
7	10	10	4	26838.417969
7	10	10	5	21304.953125
7	10	10	6	16938.566406
7	10	10	7	17764.566406
7	10	10	8	25283.203125
7	10	10	9	14311.820313
7	10	10	10	8882.283203
7	10	10	11	17876.546875
7	10	10	12	23988.984375
7	10	10	13	19820.765625
7	10	10	14	16740.796875
7	10	10	15	17134.789063
7	10	10	16	35404.898438
7	10	10	17	25410.101563
7	10	10	18	20533.832031
7	10	10	19	19642.767578
8	0	0	0	20952.585938
8	0	0	1	32526.265625
8	10	10	2	34360.875000
8	10	10	3	41588.328125
8	10	10	4	34357.054688
8	10	10	5	28823.589844
8	10	10	6	24457.203125
8	10	10	7	25283.203125
8	10	10	8	32801.839844
8	10	10	9	21830.457031
8	10	10	10	16400.919922
8	10	10	11	25395.183594
8	10	10	12	31507.621094
8	10	10	13	27339.402344
8	10	10	14	24259.433594
8	10	10	15	24653.425781
8	10	10	16	42923.539063
8	10	10	17	32928.738281
8	10	10	18	28052.468750
8	10	10	19	27161.404297
9	0	0	0	25387.062500
9	10	10	1	32381.316406
9	10	10	2	23389.490234
9	10	10	3	30616.947266
9	10	10	4	23385.671875
9	10	10	5	17852.207031
9	10	10	6	13485.819336
9	10	10	7	14311.820313
9	10	10	8	21830.457031
9	10	10	9	10859.073242
9	10	10	10	5429.536621
9	10	10	11	14423.800781
9	10	10	12	20536.236328
9	10	10	13	16368.019531
9	10	10	14	13288.049805
9	10	10	15	13682.042969
9	10	10	16	31952.154297
9	10	10	17	21957.355469
9	10	10	18	17081.083984
9	10	10	19	16190.021484
10	10	0	0	22330.785156
10	10	10	1	26951.779297
10	10	10	2	17959.953125
10	10	10	3	25187.410156
10	10	10	4	17956.134766
10	10	10	5	12422.669922
10	10	10	6	8056.282715
10	10	10	7	8882.283203
10	10	10	8	16400.919922
10	10	10	9	5429.536621
10	10	10	10	0.000000
10	10	10	11	8994.263672
10	10	10	12	15106.700195
10	10	10	13	10938.482422
10	10	10	14	7858.513184
10	10	10	15	8252.505859
10	10	10	16	26522.617188
10	10	10	17	16527.818359
10	10	10	18	11651.547852
10	10	10	19	10760.484375
11	10	0	0	31325.046875
11	10	10	1	35946.042969
11	10	10	2	26954.216797
11	10	10	3	34181.671875
11	10	10	4	26950.398438
11	10	10	5	21416.933594
11	10	10	6	17050.546875
11	10	10	7	17876.546875
11	10	10	8	25395.183594
11	10	10	9	14423.800781
11	10	10	10	8994.263672
11	10	10	11	17988.527344
11	10	10	12	24100.964844
11	10	10	13	19932.746094
11	10	10	14	16852.777344
11	10	10	15	17246.769531
11	10	10	16	35516.882813
11	10	10	17	25522.082031
11	10	10	18	20645.812500
11	10	10	19	19754.748047
12	0	0	0	26751.919922
12	0	0	1	38325.601563
12	10	10	2	33066.652344
12	10	10	3	40294.109375
12	10	10	4	33062.835938
12	10	10	5	27529.371094
12	10	10	6	23162.982422
12	10	10	7	23988.984375
12	10	10	8	31507.621094
12	10	10	9	20536.236328
12	10	10	10	15106.700195
12	10	10	11	24100.964844
12	10	10	12	30213.400391
12	10	10	13	26045.183594
12	10	10	14	22965.212891
12	10	10	15	23359.207031
12	10	10	16	41629.316406
12	10	10	17	31634.519531
12	10	10	18	26758.248047
12	10	10	19	25867.183594
13	0	0	0	32128.150391
13	10	10	1	37890.261719
13	10	10	2	28898.435547
13	10	10	3	36125.890625
13	10	10	4	28894.617188
13	10	10	5	23361.152344
13	10	10	6	18994.765625
13	10	10	7	19820.765625
13	10	10	8	27339.402344
13	10	10	9	16368.019531
13	10	10	10	10938.482422
13	10	10	11	19932.746094
13	10	10	12	26045.183594
13	10	10	13	21876.964844
13	10	10	14	18796.996094
13	10	10	15	19190.988281
13	10	10	16	37461.101563
13	10	10	17	27466.300781
13	10	10	18	22590.031250
13	10	10	19	21698.966797
14	10	0	0	30189.296875
14	10	10	1	34810.292969
14	10	10	2	25818.466797
14	10	10	3	33045.921875
14	10	10	4	25814.648438
14	10	10	5	20281.183594
14	10	10	6	15914.795898
14	10	10	7	16740.796875
14	10	10	8	24259.433594
14	10	10	9	13288.049805
14	10	10	10	7858.513184
14	10	10	11	16852.777344
14	10	10	12	22965.212891
14	10	10	13	18796.996094
14	10	10	14	15717.026367
14	10	10	15	16111.019531
14	10	10	16	34381.128906
14	10	10	17	24386.332031
14	10	10	18	19510.060547
14	10	10	19	18618.998047
15	10	0	0	30583.289063
15	10	10	1	35204.285156
15	10	10	2	26212.458984
15	10	10	3	33439.914063
15	10	10	4	26208.640625
15	10	10	5	20675.175781
15	10	10	6	16308.789063
15	10	10	7	17134.789063
15	10	10	8	24653.425781
15	10	10	9	13682.042969
15	10	10	10	8252.505859
15	10	10	11	17246.769531
15	10	10	12	23359.207031
15	10	10	13	19190.988281
15	10	10	14	16111.019531
15	10	10	15	16505.011719
15	10	10	16	34775.125000
15	10	10	17	24780.324219
15	10	10	18	19904.054688
15	10	10	19	19012.990234
16	0	0	0	32953.050781
16	0	0	1	44526.730469
16	10	10	2	44482.570313
16	10	10	3	51710.027344
16	10	10	4	44478.750000
16	10	10	5	38945.289063
16	10	10	6	34578.898438
16	10	10	7	35404.898438
16	10	10	8	42923.539063
16	10	10	9	31952.154297
16	10	10	10	26522.617188
16	10	10	11	35516.882813
16	10	10	12	41629.316406
16	10	10	13	37461.101563
16	10	10	14	34381.128906
16	10	10	15	34775.125000
16	10	10	16	53045.234375
16	10	10	17	43050.437500
16	10	10	18	38174.164063
16	10	10	19	37283.101563
17	0	0	0	34220.367188
17	10	10	1	43479.597656
17	10	10	2	34487.773438
17	10	10	3	41715.226563
17	10	10	4	34483.953125
17	10	10	5	28950.488281
17	10	10	6	24584.101563
17	10	10	7	25410.101563
17	10	10	8	32928.738281
17	10	10	9	21957.355469
17	10	10	10	16527.818359
17	10	10	11	25522.082031
17	10	10	12	31634.519531
17	10	10	13	27466.300781
17	10	10	14	24386.332031
17	10	10	15	24780.324219
17	10	10	16	43050.437500
17	10	10	17	33055.636719
17	10	10	18	28179.367188
17	10	10	19	27288.302734
18	10	0	0	33982.332031
18	10	10	1	38603.328125
18	10	10	2	29611.500000
18	10	10	3	36838.957031
18	10	10	4	29607.683594
18	10	10	5	24074.218750
18	10	10	6	19707.830078
18	10	10	7	20533.832031
18	10	10	8	28052.468750
18	10	10	9	17081.083984
18	10	10	10	11651.547852
18	10	10	11	20645.812500
